蟻,1,-1.80618,-1.50515,-1.20412,-0.90309,-0.60206,-0.30103,0,0.30103,0.60206,0.90309,1.20412,1.50515,1.80618
宮,70,-0.28103,0.02,0.32103,0.48148,0.05806,0.19485,-0.3283,-0.18275,-0.14082,0.20379,-0.33377,-0.17307,0.16053
述,217,-1.22084,-0.91981,-0.61878,-0.31775,-0.01672,0.12007,-0.18096,0.08543,0.38646,0.65189,0.54569,0.13237,1.35292
王,179,-0.66798,-0.36695,-0.06592,0.23511,0.16174,0.07341,0.32842,0.048,-0.86432,0.43454,0.58864,-0.00447,0.09979
崎,28,-0.76542,-0.46439,-0.16336,0.13767,0.4387,0.09836,0.52946,0.0218,0.06373,0.22865,0.34789,-0.01428,-0.45883
枝,17,-0.88993,-0.5889,-0.28787,0.01316,0.31419,0.22166,0.10392,0.5505,0.11531,-0.18572,0.01862,0.15702,0.45805
去,98,-0.90032,-0.59929,-0.29826,0.00277,0.3038,0.0839,-0.38359,0.18793,-0.07117,0.27344,0.26415,0.4151,0.72154
建,295,-1.11891,-0.81788,-0.51685,-0.21582,0.08521,-0.07904,0.72004,0.08744,0.18735,0.15175,0.41353,0.23429,0.86891
宰,1,-1.80618,-1.50515,-1.20412,-0.90309,-0.60206,-0.30103,0,0.30103,0.60206,0.90309,1.20412,1.50515,1.80618
盗,3,-1.48763,-1.1866,-0.88557,-0.58454,-0.28351,0.01752,0.31855,0.61958,0.92061,0.78809,0.73154,0.66651,0.36548
貧,46,-1.66231,-1.36128,-1.06025,-0.75922,-0.45819,-0.15716,0.14387,0.4449,0.96395,0.35432,1.21033,1.27412,1.06693
廻,14,-1.41118,-1.11015,-0.80912,-0.50809,-0.20706,0.09397,0.395,0.69603,0.395,0.42006,0.72109,0.68306,0.64136
愉,2,-1.80618,-1.50515,-1.20412,-0.90309,-0.60206,-0.30103,0,0.30103,0.60206,0.90309,1.20412,1.50515,1.80618
貨,142,-1.05682,-0.75579,-0.45476,-0.15373,0.1473,0.2512,0.33498,0.48053,-0.17652,0.4443,0.02847,0.50724,0.40358
拶,2,-1.28873,-0.9877,-0.68667,-0.38564,-0.08461,0.21642,0.51745,0.81848,0.77555,0.7279,0.42687,0.12584,-0.17519
枠,36,-1.29608,-0.99505,-0.69402,-0.39299,-0.09196,0.20907,0.5101,0.38899,0.22046,0.08795,0.60154,0.56843,0.88354
販,26,-1.22644,-0.92541,-0.62438,-0.32335,-0.02232,0.27871,0.57974,0.58547,0.59113,0.3617,0.34954,0.33703,0.0386
拷,3,-1.34306,-1.04203,-0.741,-0.43997,-0.13894,0.16209,0.46312,0.76415,1.06518,0.76415,0.46312,0.16209,-0.13894
側,232,-1.06205,-0.76102,-0.45999,-0.15896,0.14207,0.33684,0.16588,0.33492,0.27418,0.14167,0.27156,0.44605,0.32885
害,247,-1.17098,-0.86995,-0.56892,-0.26789,0.03314,0.24911,0.1239,0.34864,0.58245,0.23323,0.49864,0.51466,0.29397
那,6,-1.1184,-0.81737,-0.51634,-0.21531,0.08572,0.38675,0.68778,0.38675,0.08572,-0.15699,0.14404,0.44507,0.60257
枢,26,-1.63608,-1.33505,-1.03402,-0.73299,-0.43196,-0.13093,0.1701,0.47113,0.77216,1.07319,1.37422,0.59292,0.84733
統,299,-1.67291,-1.37188,-1.07085,-0.76982,-0.46879,-0.16776,0.66128,1.01095,0.34167,0.89554,1.183,0.78655,0.64302
宴,1,-1.80618,-1.50515,-1.20412,-0.90309,-0.60206,-0.30103,0,0.30103,0.60206,0.90309,1.20412,1.50515,1.80618
盛,43,-1.235,-0.93397,-0.63294,-0.33191,-0.03088,0.27015,0.40022,0.79565,0.23551,0.27909,0.51968,0.28245,0.38196
澗,1,-0.83362,-0.53259,-0.23156,0.06947,0.3705,0.67153,0.97256,0.67153,0.3705,0.06947,-0.23156,-0.53259,-0.83362
塩,163,-0.89439,-0.59336,-0.29233,0.0087,0.30973,0.14548,0.5581,-0.83417,0.2825,0.56661,0.5711,0.45881,-0.28678
椀,11,-1.6727,-1.37167,-1.07064,-0.76961,-0.46858,-0.16755,0.13348,0.43451,0.73554,1.03657,1.3376,1.12922,0.7138
偶,59,-0.82723,-0.5262,-0.22517,0.07586,0.37689,0.24085,0.04168,0.31217,0.05307,-0.07945,0.43414,-0.07609,0.19951
踊,24,-1.03762,-0.73659,-0.43556,-0.13453,0.1665,0.46753,0.76856,0.65884,1.04319,0.74216,-0.55333,-0.2523,-0.69686
貫,29,-1.56132,-1.26029,-0.95926,-0.65823,-0.3572,-0.05617,0.24486,0.54589,0.50295,0.4553,1.04807,0.93578,1.11961
摘,31,-1.74563,-1.4446,-1.14357,-0.84254,-0.54151,-0.24048,0.06055,0.36158,0.66261,0.96364,0.77826,1.31918,1.81247
家,877,-0.59238,-0.29135,0.00968,0.05204,0.19289,0.00844,0.03814,0.09396,0.1499,0.21368,0.14993,-0.17926,0.15433
責,39,-1.57112,-1.27009,-0.96906,-0.66803,-0.367,-0.06597,0.23506,0.53609,0.87905,1.14447,0.56115,0.97713,0.57833
畿,7,-1.06003,-0.759,-0.45797,-0.15694,0.14409,0.44512,0.74615,0.44512,0.23991,-0.16242,0.13861,0.67953,-0.24215
邦,33,-1.59291,-1.29188,-0.99085,-0.68982,-0.38879,-0.08776,0.21327,0.5143,0.55622,0.90083,1.4936,1.20522,0.1586
姉,19,-0.57598,-0.27495,0.02608,0.32711,0.62814,0.47658,0.24178,-0.05925,-0.26446,-0.66679,-0.36576,0.14006,0.36743
蒸,111,-1.27232,-0.97129,-0.67026,-0.36923,-0.0682,0.23283,0.53386,0.34362,0.63212,0.80395,0.49363,0.25639,0.05487
填,1,-1.80618,-1.50515,-1.20412,-0.90309,-0.60206,-0.30103,0,0.30103,0.60206,0.90309,1.20412,1.50515,1.80618
迷,14,-1.53095,-1.22992,-0.92889,-0.62786,-0.32683,-0.0258,0.27523,0.57626,1.09531,0.48568,0.69886,0.84121,0.69769
爵,7,-1.78595,-1.48492,-1.18389,-0.88286,-0.58183,-0.2808,0.02023,0.32126,0.62229,0.92332,1.22435,1.467,1.62175
意,837,-1.02614,-0.72511,-0.19411,-0.33469,-0.2072,0.28176,0.1266,0.12602,0.3984,0.23955,0.29721,0.34521,0.67251
汎,1,-1.75987,-1.45884,-1.15781,-0.85678,-0.55575,-0.25472,0.04631,0.34734,0.64837,0.9494,1.25043,1.55146,1.25043
箇,7,-1.67563,-1.3746,-1.07357,-0.77254,-0.47151,-0.17048,0.13055,0.43158,0.73261,1.03364,1.33467,0.92135,0.95391
崖,21,-1.57874,-1.27771,-0.97668,-0.67565,-0.37462,-0.07359,0.22744,0.52847,0.8295,1.13053,0.5472,0.78709,0.90681
父,57,-0.76219,-0.46116,-0.16013,0.1409,0.14345,-0.0208,-0.06682,0.07873,0.42169,0.35612,0.10379,-0.13344,0.35986
絵,296,-0.47082,-0.16979,0.77803,0.54515,0.31033,0.30881,0.41085,0.2834,0.27418,-0.66452,-0.54887,-0.88301,-0.17375
盟,58,-1.13807,-0.83704,-0.53601,-0.23498,0.06605,0.36708,-0.28101,0.53355,0.68462,-0.40213,0.77422,0.65238,0.35135
始,303,-1.22564,-0.92461,-0.62358,0.43997,0.23839,0.15333,0.14207,0.22804,0.03951,0.22922,0.3344,0.56357,0.40532
絶,152,-1.3,-0.99897,-0.69794,-0.39691,-0.09588,0.20515,0.40216,0.37163,0.17051,0.43594,0.69772,0.4283,0.77829
容,215,-1.16694,-0.86591,-0.56488,-0.26385,0.03718,0.04903,0.3388,0.34044,0.51499,0.55089,0.31629,0.21259,0.50137
